d_um,delta_rho,D_tube_mm,T_K,is_large_mode,g_star_over_gE,Ga_dep_earth,Ga_dep_mars,Ga_dep_moon
0.9982252319811574,101.66689278477189,4.57,304.96820926059894,False,1.1621284800874703,0.8604900552172448,0.32542488326768376,0.14209927517348994
0.8476136825789201,92.03211739329811,9.530000000000001,305.4899085580061,False,0.9500324062274215,1.0525956729949872,0.398076447177513,0.17382313865972268
0.6140278911981827,89.22225434539168,6.35,288.32922865000506,False,3.804420807020561,0.26285210041818474,0.09940685958730533,0.04340676887639748
1.2733480664267232,95.53188410437136,12.7,293.3191018755386,False,0.24659120293175285,4.055294706830082,1.53365375762891,0.6696816947058852
1.1301269090963368,95.41530012819541,9.530000000000001,311.8375706958845,False,0.41376467563652136,2.4168327043908095,0.9140111450856171,0.39910998788105123
0.7915704584969856,94.34416962577224,12.7,301.3383318344089,False,0.8498869298016868,1.1766271076004673,0.4449833403871288,0.19430539391567347
116.01743752145859,63.338218612720524,4.57,308.060297000869,True,0.0029219451042249477,342.23777803151177,129.4293737509591,56.51633031713038
0.9789501671322108,84.57155756201495,9.530000000000001,303.06640441784,False,0.7115909519456436,1.4053017358719693,0.531464774728339,0.23206817656601322
1.2677345406314375,89.1977528965207,12.7,309.30893329630544,False,0.24722730796595888,4.044860611181721,1.5297077336884999,0.6679586330391832
1.5237314750373097,92.91634736903978,4.57,297.12591402745585,False,0.4266924860760287,2.3436081783306086,0.8863186892565297,0.3870178643114765
1.7377015230929231,98.5840750485817,6.35,301.37380644477406,False,0.19980392161799163,5.004906770107928,1.8927832943017746,0.8264983657058963
0.950454958835038,94.51557362288528,9.530000000000001,301.7091526689894,False,0.6930047052846733,1.4429916454740646,0.5457185529774495,0.2382921983351667
0.608208941811501,93.10977605708842,9.530000000000001,290.72602657028153,False,2.4563025583280256,0.4071159705507482,0.15396536704824423,0.06723016027443549
1.792553716826226,100.93439887380475,9.530000000000001,311.09502209553267,False,0.1146853550133541,8.71950912898651,3.297592137465846,1.4399189387317173
2.105259225927702,93.13229449605133,6.35,315.3307074268442,False,0.11922588269493205,8.38744052378911,3.1720085976817125,1.3850819213596697
1.4958428473270422,83.92950290541762,6.35,304.99216205989427,False,0.34450544877105943,2.9027117091101458,1.0977635515594943,0.47934688774295986
1.3278255369201895,87.8676935398537,9.530000000000001,305.55995131972156,False,0.30051553473380216,3.3276149962956283,1.2584558242871335,0.5495144030579937
0.8835936854147246,86.57250659089604,12.7,310.4966194688866,False,0.6635274957595954,1.5070965504680653,0.5699621001260472,0.24887832943509341
1.8203139465439269,94.52504043649326,12.7,302.9669966511508,False,0.09141635083005557,10.938962132266862,4.136957136667692,1.8064341135853532
1.439773532929861,90.12812418538633,12.7,311.4607482772876,False,0.17261573909122896,5.7932144847550155,2.190909861207045,0.9566776213356906
1.4831430436237605,92.72384492747045,4.57,306.70583868979764,False,0.43992917579206753,2.273093159142166,0.8596509297061605,0.37537318224366045
0.6940843639961258,93.00806059283741,6.35,299.34792605041014,False,2.4691849918299202,0.404991931875828,0.15316208636690334,0.06687940159417344
1.624061871813283,84.34706864807912,6.35,310.0418963738352,False,0.2692397107461651,3.714162361965929,1.4046424427006725,0.6133479129851993
0.6873555816456881,94.55070524192448,3.18,315.45301812032375,False,4.637104315428118,0.21565182320201381,0.08155639796936505,0.03561222768473623
1.2932418103528676,83.71806263679403,6.35,306.48971339494716,False,0.5058080050960332,1.9770347442605993,0.7476859226510523,0.3264828018045026
