gravity,g_m_s2,Ra,deposition_timescale_cell_s,deposition_timescale_cell_hours,X_final_mg_m2_1yr,C_cell_frac_remaining,C_floc_frac_remaining
Earth,9.81,4953.082964065788,327.134842898137,0.09087078969392694,1.3879488868395,0.0,0.0
Mars,3.71,1873.1842810075502,1448.2363113732679,0.4022878642703522,1.3879542934852303,0.0,0.0
Moon,1.62,817.9403059925154,570401.2692337111,158.44479700936418,1.3293492960320037,0.0,0.0
